pair,i,j,c_ij,model,SSE1,SSE2,SSE3,ok2,ok3
706,7,6,12.66666666666667,1,.0004046986794766,,,0,0
707,7,7,38,1,.0250198360779095,,,0,0
708,7,8,38,1,.0007345099588195,,,0,0
709,7,9,12.66666666666667,1,.0024580723819169,,,0,0
710,7,10,38,1,.0004088676316704,,,0,0
711,7,11,38,1,.000400801922337,,,0,0
712,7,12,12.66666666666667,1,.0294715614744752,,,0,0
713,7,13,38,1,.0004573439070792,,,0,0
714,7,14,38,1,.0002063815138711,,,0,0
715,7,15,38,1,.0002156570117775,,,0,0
716,7,16,38,1,.0006470997498181,,,0,0
717,7,17,38,1,.0004507639204624,,,0,0
718,7,18,38,1,.0005054648258098,,,0,0
801,8,1,38,1,.0000886912296435,,,0,0
802,8,2,19,1,.0018381242708995,,,0,0
803,8,3,38,1,.0001515321668365,,,0,0
804,8,4,12.66666666666667,1,.0000305069585195,,,0,0
805,8,5,38,1,.0028170815556473,,,0,0
806,8,6,38,1,.0004085957050175,,,0,0
807,8,7,38,1,.0011232200740683,,,0,0
808,8,8,38,1,.0165306704294892,,,0,0
809,8,9,38,1,.0082787599636862,,,0,0
810,8,10,19,1,.0092983851033525,,,0,0
811,8,11,38,1,.0003534818096488,,,0,0
812,8,12,38,1,.0081899084809006,,,0,0
813,8,13,38,1,.0004202652892914,,,0,0
814,8,14,38,1,.0001409743754139,,,0,0
815,8,15,38,1,.0001547812724574,,,0,0
816,8,16,38,1,.0001855388922222,,,0,0
817,8,17,3.8,1,.0008265828314795,,,0,0
818,8,18,19,1,.0000759350788996,,,0,0
901,9,1,38,1,.0001241964153661,,,0,0
902,9,2,38,1,.0087117139089361,,,0,0
903,9,3,38,1,.0002155369630141,,,0,0
904,9,4,38,1,.0002682680107448,,,0,0
905,9,5,38,1,.0004178193642637,,,0,0
906,9,6,38,1,.000431585805855,,,0,0
907,9,7,38,1,.0012109466904504,,,0,0
908,9,8,19,1,.0017617955755879,,,0,0
909,9,9,38,1,.015158125717954,,,0,0
910,9,10,38,1,.0304308422344575,,,0,0
911,9,11,38,1,.0123575997439259,,,0,0
912,9,12,38,1,.0033617015570159,,,0,0
913,9,13,38,1,.0053556769883564,,,0,0
914,9,14,12.66666666666667,1,.0051803133340374,,,0,0
915,9,15,38,1,.0428669929054501,,,0,0
916,9,16,38,1,.0009398001647572,,,0,0
917,9,17,38,1,.0501738654075258,,,0,0
918,9,18,38,1,.0020524166059569,,,0,0
1001,10,1,38,1,5.32582353258e-06,,,0,0
1002,10,2,38,1,.0001092134204491,,,0,0
