year,i,j,c_ij,a,a_hat,p_i,p_ij,lambda_i,ue_ij,r
1981,1,1,38,0.13720490079654,0.140539666352366,0.590195302646544,0.604540001378513,0.774221654305953,0.780835821390774,0.269957362316928
1981,1,2,38,0.0176277019234984,0.0180433392598805,0.590195302646544,0.604111308521946,0.774221654305953,0.780282113219241,0.269957362316928
1981,1,3,38,0.484947924614063,0.485971484548925,0.590195302646544,0.591441003957697,0.774221654305953,0.763916897271353,0.269957362316928
1981,1,4,38,0.136996201363363,0.143890361458688,0.590195302646544,0.619896132767825,0.774221654305953,0.800670104381836,0.269957362316928
1981,1,5,19,0.0794096709003487,0.0788035789061765,0.590195302646544,0.585690654234375,0.774221654305953,0.756489631847632,0.269957362316928
1981,1,6,38,0.0529955236817365,0.0538798598379522,0.590195302646544,0.600043890019573,0.774221654305953,0.775028555042779,0.269957362316928
1981,1,7,38,0.0086344206405096,0.0088677737225732,0.590195302646544,0.606145868252055,0.774221654305953,0.782909990802868,0.269957362316928
1981,1,8,38,0.0014588655702,0.0015594839128999,0.590195302646544,0.630901228150989,0.774221654305953,0.814884503219633,0.269957362316928
1981,1,9,38,0.002006635123101,0.0021623029729783,0.590195302646544,0.635980623910476,0.774221654305953,0.821445151234626,0.269957362316928
1981,1,10,38,0.0109387112410348,0.0047576289210619,0.590195302646544,0.256696623493687,0.774221654305953,0.331554435433354,0.269957362316928
1981,1,11,38,0.0002389667551068,0.0002548570326105,0.590195302646544,0.629440791569228,0.774221654305953,0.812998174448488,0.269957362316928
1981,1,12,38,0.0054428868073079,0.018783851481704,0.590195302646544,2.03681268830121,0.774221654305953,2.63078754898312,0.269957362316928
1981,1,13,19,0.0347726998443456,0.0287109612282518,0.590195302646544,0.487309715013017,0.774221654305953,0.629418865130896,0.269957362316928
1981,1,14,38,7.78507638426e-05,-0.0020574014712158,0.590195302646544,-15.5973894671693,0.774221654305953,-20.1458966956323,0.269957362316928
1981,1,15,38,0.0002070133986677,-1.0211894996e-05,0.590195302646544,-0.0291141177167646,0.774221654305953,-0.0376043702147079,0.269957362316928
1981,1,16,38,0.0002883584432077,0.0002491535780789,0.590195302646544,0.50995306322218,0.774221654305953,0.658665461481215,0.269957362316928
1981,1,17,38,0.0229075433314434,0.0152217063192432,0.590195302646544,0.392175600757293,0.774221654305953,0.506541761750202,0.269957362316928
1981,1,18,38,0.0926456014756142,0.110038555862635,0.590195302646544,0.70099646119984,0.774221654305953,0.905420892455204,0.269957362316928
1981,2,1,38,0.0008723270262738,0.0012249181658607,0.434052769696189,0.609495185325295,0.487107224710882,1.25125466099801,0.269957362316928
1981,2,2,19,0.0429531538103367,0.0423378109826615,0.434052769696189,0.427834570682341,0.487107224710882,0.878317029553972,0.269957362316928
1981,2,3,38,0.0035637990124083,0.0032239617025395,0.434052769696189,0.392662297034553,0.487107224710882,0.806110599709568,0.269957362316928
1981,2,4,38,0.0017539670403061,0.0018623695527428,0.434052769696189,0.460879049599923,0.487107224710882,0.94615523281034,0.269957362316928
1981,2,5,38,0.0337307574841053,0.0358764734859377,0.434052769696189,0.461664185598001,0.487107224710882,0.947767066834243,0.269957362316928
1981,2,6,38,0.136111539698692,0.13736256582617,0.434052769696189,0.438042228318111,0.487107224710882,0.899272698281383,0.269957362316928
1981,2,7,38,0.077852982111693,0.072935045604773,0.434052769696189,0.406633859024841,0.487107224710882,0.834793323515565,0.269957362316928
1981,2,8,38,0.107692249487337,0.0911287309279791,0.434052769696189,0.367293637624676,0.487107224710882,0.754030363320272,0.269957362316928
1981,2,9,38,0.0058625606891902,0.00626009568799,0.434052769696189,0.463485499936132,0.487107224710882,0.951506108765332,0.269957362316928
1981,2,10,19,0.0060095155139675,0.0050553340048845,0.434052769696189,0.365134547279133,0.487107224710882,0.749597888834137,0.269957362316928
1981,2,11,7.6,0.161222231981869,0.2050996633641,0.434052769696189,0.552182387333252,0.487107224710882,1.13359514973525,0.269957362316928
1981,2,12,38,0.0587209201020437,0.0573989592008986,0.434052769696189,0.424281110982822,0.487107224710882,0.871022003902015,0.269957362316928
1981,2,13,38,0.0069825985847435,0.0067533713291168,0.434052769696189,0.419803529390149,0.487107224710882,0.861829815066528,0.269957362316928
1981,2,14,19,0.0130518373234169,0.0096524524370843,0.434052769696189,0.321002599929765,0.487107224710882,0.65899782151721,0.269957362316928
1981,2,15,38,0.0022579958804385,0.0022637237397455,0.434052769696189,0.435153831579505,0.487107224710882,0.89334300438222,0.269957362316928
1981,2,16,38,0.0145081329712822,0.0154003938125674,0.434052769696189,0.460747334063493,0.487107224710882,0.945884829232343,0.269957362316928
1981,2,17,38,0.0093478469265411,0.0096299050820222,0.434052769696189,0.447149702558276,0.487107224710882,0.917969760813294,0.269957362316928
1981,2,18,38,0.0050058877438078,0.004058257664145,0.434052769696189,0.351885233831276,0.487107224710882,0.722397895124906,0.269957362316928
1981,3,1,38,0.0367801080166814,0.0272943194620719,0.580008677448215,0.430421306154549,0.552956113410934,0.77840048371918,0.269957362316928
1981,3,2,38,0.0012821708555451,0.0006571145909294,0.580008677448215,0.297255364344444,0.552956113410934,0.537574966864569,0.269957362316928
1981,3,3,38,0.139568239398227,0.131685763429444,0.580008677448215,0.547251192784199,0.552956113410934,0.989682869058913,0.269957362316928
1981,3,4,38,0.0079687509756272,0.0078171269000033,0.580008677448215,0.568972659402111,0.552956113410934,1.02896531135605,0.269957362316928
1981,3,5,38,0.002330904803389,0.0016393617307094,0.580008677448215,0.407929156053694,0.552956113410934,0.737724289794654,0.269957362316928
1981,3,6,38,0.0241945374888377,0.0224119611380971,0.580008677448215,0.537275488102458,0.552956113410934,0.971642188361478,0.269957362316928
1981,3,7,38,0.0014521404760283,0.0006179788465578,0.580008677448215,0.246830867536522,0.552956113410934,0.446384191349174,0.269957362316928
1981,3,8,38,0.001229583798609,0.0008972175944333,0.580008677448215,0.423227754724189,0.552956113410934,0.765391220857457,0.269957362316928
1981,3,9,38,0.0012527914978052,0.0008575916709234,0.580008677448215,0.397041815588877,0.552956113410934,0.718034950621502,0.269957362316928
1981,3,10,38,0.0009227847996946,8.88968072534e-05,0.580008677448215,0.0558753456076408,0.552956113410934,0.101048427266626,0.269957362316928
1981,3,11,38,0.0006468576341216,0.0004519999014843,0.580008677448215,0.405288352857793,0.552956113410934,0.732948498132617,0.269957362316928
1981,3,12,38,0.0010044046666443,0.0006774131107724,0.580008677448215,0.391182454157518,0.552956113410934,0.707438519387174,0.269957362316928
1981,3,13,38,0.0207561735076062,0.0143127651064306,0.580008677448215,0.399954642745959,0.552956113410934,0.723302687221995,0.269957362316928
1981,3,14,38,0.0010320561952118,-0.0002558780764087,0.580008677448215,-0.143801767165737,0.552956113410934,-0.260060000564401,0.269957362316928
1981,3,15,38,0.0010964335124063,0.0003347953161995,0.580008677448215,0.177105302207117,0.552956113410934,0.320288170999025,0.269957362316928
1981,3,16,38,0.0005111046297864,-1.00648790719e-05,0.580008677448215,-0.0114217654447948,0.552956113410934,-0.0206558263265038,0.269957362316928
1981,3,17,38,0.0030054174221219,-0.0011087157203733,0.580008677448215,-0.213968526936183,0.552956113410934,-0.386953904201019,0.269957362316928
1981,3,18,38,0.107588321321231,0.128027012868399,0.580008677448215,0.690193670646967,0.552956113410934,1.24818887775646,0.269957362316928
1981,4,1,38,0.0026223321331963,0.0022422210854726,0.537151338180753,0.459290431334752,0.453236384485565,1.01335737168599,0.269957362316928
1981,4,2,38,0.018616867015696,0.0173023835253893,0.537151338180753,0.49922462552607,0.453236384485565,1.10146634871934,0.269957362316928
1981,4,3,38,0.0035028559477088,0.0029445560767177,0.537151338180753,0.451537905231799,0.453236384485565,0.996252553166724,0.269957362316928
1981,4,4,38,0.391082043434384,0.379243816785126,0.537151338180753,0.52089152929131,0.453236384485565,1.14927121281875,0.269957362316928
1981,4,5,38,0.0921215714736395,0.0833993548032509,0.537151338180753,0.486292996519242,0.453236384485565,1.07293459476162,0.269957362316928
1981,4,6,38,0.0338123939598466,0.0309509938984507,0.537151338180753,0.491694489609944,0.453236384485565,1.08485220172257,0.269957362316928
1981,4,7,38,0.0232112349217158,0.0217099684527956,0.537151338180753,0.502409227497451,0.453236384485565,1.10849270865069,0.269957362316928
1981,4,8,38,0.0184922094073057,0.0175899730158303,0.537151338180753,0.51094368097972,0.453236384485565,1.12732273592654,0.269957362316928
1981,4,9,38,0.0130765852385934,0.0123642020811532,0.537151338180753,0.507888532996179,0.453236384485565,1.12058199734482,0.269957362316928
1981,4,10,19,0.062857025140931,0.047800918053292,0.537151338180753,0.408487787021828,0.453236384485565,0.901268744091391,0.269957362316928
1981,4,11,38,0.004205977934862,0.0038410022375173,0.537151338180753,0.490539780234339,0.453236384485565,1.08230450384321,0.269957362316928
1981,4,12,38,0.0124949177481985,0.0118179528223434,0.537151338180753,0.508048896439836,0.453236384485565,1.12093581590208,0.269957362316928
1981,4,13,38,0.0805872577278257,0.0834150149058594,0.537151338180753,0.555999647393123,0.453236384485565,1.22673215660785,0.269957362316928
1981,4,14,38,0.0079425914078471,0.0067135465531293,0.537151338180753,0.454031981475133,0.453236384485565,1.00175536875856,0.269957362316928
1981,4,15,38,0.0236791212937017,0.0206255346715106,0.537151338180753,0.467881954405221,0.453236384485565,1.03231331468739,0.269957362316928
1981,4,16,38,0.0116407975572994,0.0116114431428822,0.537151338180753,0.535796812177866,0.453236384485565,1.18215754630116,0.269957362316928
1981,4,17,38,0.0397309109816823,0.0345464013897192,0.537151338180753,0.46705814886481,0.453236384485565,1.03049570787423,0.269957362316928
1981,4,18,38,0.0136021536712984,0.0138177198940242,0.537151338180753,0.54566408460326,0.453236384485565,1.20392824424853,0.269957362316928
1981,5,1,38,0.00224730675221,0.0021631958288665,0.481399399931383,0.463381856048948,0.409623584878728,1.13123822249184,0.269957362316928
1981,5,2,38,0.0110323716103267,0.0100759164984525,0.481399399931383,0.439664319462687,0.409623584878728,1.07333741437972,0.269957362316928
1981,5,3,38,0.0164454602301772,0.0170468945816086,0.481399399931383,0.499004874744785,0.409623584878728,1.21820347549695,0.269957362316928
1981,5,4,38,0.0039846298695751,0.0038755609054607,0.481399399931383,0.468222333153683,0.409623584878728,1.14305511312857,0.269957362316928
1981,5,5,38,0.202630320951783,0.191294164140196,0.481399399931383,0.454467502172979,0.409623584878728,1.10947591630381,0.269957362316928
1981,5,6,38,0.0118277977705641,0.0118585709339747,0.481399399931383,0.482651888576118,0.409623584878728,1.17828149157723,0.269957362316928
1981,5,7,38,0.0582374480713858,0.0627180373033806,0.481399399931383,0.518436616345422,0.409623584878728,1.26564151939374,0.269957362316928
1981,5,8,19,0.0119911716596857,0.0114760746172681,0.481399399931383,0.460720235779315,0.409623584878728,1.12474050027104,0.269957362316928
1981,5,9,19,0.0204684008120127,0.0173660718403374,0.481399399931383,0.408435257833983,0.409623584878728,0.997098977967548,0.269957362316928
1981,5,10,19,0.0225740483438379,0.0166192823029018,0.481399399931383,0.354411951549271,0.409623584878728,0.865213734346369,0.269957362316928
1981,5,11,19,0.0030994127778438,0.0038519257543145,0.481399399931383,0.598279377294575,0.409623584878728,1.46055891159612,0.269957362316928
1981,5,12,9.5,0.035976459473715,0.030435920169262,0.481399399931383,0.40726169056594,0.409623584878728,0.994233988471423,0.269957362316928
1981,5,13,19,0.0811880847285159,0.0692754366229002,0.481399399931383,0.410764137764361,0.409623584878728,1.00278439261736,0.269957362316928
